timesteps,episodes_completed,normalized_reward_mean,extrinsic_reward_mean,intrinsic_reward_mean,speed_penalty_mean,total_reward_mean,episode_return_mean,episode_length_mean,global_parts,ep_parts,global_left_geoms,global_right_geoms,ep_left_geoms,ep_right_geoms,log_std_mean,action_std_mean,randinit_prob,randinit_noise,episode_idx,episode_steps
63488,63,0.0009077548580989735,0.0,0.000325,0.0,0.000325,2.151377317460318,1000.0,19.0,17.0,5.0,6.0,4.0,3.0,-0.5213485956192017,0.5937193205510035,nan,nan,64.0,488.0
65536,65,0.0001257392192052005,0.0,4.5e-05,0.0,4.5e-05,2.1511935384615386,1000.0,19.0,17.0,5.0,6.0,4.0,3.0,-0.5216824412345886,0.593521143041254,nan,nan,66.0,536.0
67584,67,0.00022856414905109398,0.0,8.178571428571429e-05,0.0,8.178571428571429e-05,2.150881791044777,1000.0,19.0,18.0,5.0,6.0,4.0,3.0,-0.5220162272453308,0.5933230670459643,nan,nan,68.0,584.0
69632,69,0.000540929427539615,0.0,0.00019345238095238104,0.0,0.00019345238095238104,2.1518904057971016,1000.0,19.0,18.0,5.0,6.0,4.0,4.0,-0.522350013256073,0.5931250571546379,nan,nan,70.0,632.0
71680,71,0.00013989573206867897,0.0,5e-05,0.0,5e-05,2.153778464788733,1000.0,19.0,17.0,5.0,6.0,4.0,3.0,-0.52268385887146,0.5929270780040051,nan,nan,72.0,680.0
73728,73,0.00012610364285445386,0.0,4.5e-05,0.0,4.5e-05,2.152704287671233,1000.0,19.0,18.0,5.0,6.0,4.0,3.0,-0.5230176448822021,0.5927292002662248,nan,nan,74.0,728.0
75776,75,1.4014664953215061e-05,0.0,5e-06,0.0,5e-06,2.1530518533333334,1000.0,19.0,18.0,5.0,6.0,4.0,4.0,-0.5233514904975891,0.5925313532486213,nan,nan,76.0,776.0
77824,77,0.0,0.0,0.0,0.0,0.0,2.1526627402597405,1000.0,19.0,18.0,5.0,6.0,4.0,3.0,-0.5236853361129761,0.592333572270353,nan,nan,78.0,824.0
79872,79,7.020162105405482e-05,0.0,2.5e-05,0.0,2.5e-05,2.1514705443037974,1000.0,19.0,17.0,5.0,6.0,4.0,4.0,-0.5240191221237183,0.5921358926034254,nan,nan,80.0,872.0
81920,81,1.4053412798353508e-05,0.0,5e-06,0.0,5e-06,2.1507940123456795,1000.0,19.0,18.0,5.0,6.0,4.0,4.0,-0.5243529677391052,0.5919382436259244,nan,nan,82.0,920.0
83968,83,0.0,0.0,0.0,0.0,0.0,2.149909120481928,1000.0,19.0,17.0,5.0,6.0,4.0,3.0,-0.5246868133544922,0.591740660621655,nan,nan,84.0,968.0
86016,86,0.016282024404660696,0.0,0.00577952380952381,0.0,0.00577952380952381,2.147147325581396,1000.0,19.0,12.0,5.0,6.0,1.0,1.0,-0.5250205993652344,0.5915431788273158,nan,nan,87.0,16.0
88064,88,0.026852020546862327,0.0,0.00952654761904762,0.0,0.00952654761904762,2.146247863636364,1000.0,19.0,16.0,5.0,6.0,4.0,3.0,-0.5253545045852661,0.591345692444733,nan,nan,89.0,64.0
90112,90,0.0263416732000015,0.0,0.009333333333333334,0.0,0.009333333333333334,2.1451994888888892,1000.0,19.0,15.0,5.0,6.0,3.0,3.0,-0.5256882905960083,0.5911483424632461,nan,nan,91.0,112.0
92160,92,0.029135013056941154,0.0,0.01031357142857143,0.0,0.01031357142857143,2.1466713369565222,1000.0,19.0,17.0,5.0,6.0,4.0,4.0,-0.5260221362113953,0.5909510231200029,nan,nan,93.0,160.0
94208,94,0.020856384691177284,0.0,0.0073750000000000005,0.0,0.0073750000000000005,2.1458500531914897,1000.0,19.0,18.0,5.0,6.0,4.0,4.0,-0.5263559818267822,0.5907537696399626,nan,nan,95.0,208.0
96256,96,0.0028599401356027955,0.0,0.0010136904761904762,0.0,0.0010136904761904762,2.1460074375000002,1000.0,19.0,17.0,5.0,6.0,4.0,3.0,-0.5266897678375244,0.5905566172010571,nan,nan,97.0,256.0
98304,98,0.0018118480313604676,0.0,0.0006417857142857143,0.0,0.0006417857142857143,2.145835265306123,1000.0,19.0,16.0,5.0,6.0,4.0,3.0,-0.5270236134529114,0.5903594953697271,nan,nan,99.0,304.0
100352,100,0.001243429645363513,0.0,0.00044011904761904764,0.0,0.00044011904761904764,2.1450399800000004,1000.0,19.0,17.0,5.0,6.0,4.0,4.0,-0.5273574590682983,0.5901624393356726,nan,nan,101.0,352.0
102400,102,0.0005705164358293548,0.0,0.00020178571428571432,0.0,0.00020178571428571432,2.1449033333333336,1000.0,19.0,18.0,5.0,6.0,4.0,3.0,-0.5276912450790405,0.589965484241613,nan,nan,103.0,400.0
104448,104,0.0019297031139521347,0.0,0.0006816666666666668,0.0,0.0006816666666666668,2.144640769230769,1000.0,19.0,17.0,5.0,6.0,4.0,3.0,-0.5280250310897827,0.5897685948774382,nan,nan,105.0,448.0
106496,106,7.078802383848171e-05,0.0,2.5e-05,0.0,2.5e-05,2.14507341509434,1000.0,19.0,18.0,5.0,6.0,4.0,4.0,-0.5283588767051697,0.5895717360799969,nan,nan,107.0,496.0
108544,108,5.667105202300903e-05,0.0,2e-05,0.0,2e-05,2.144943740740741,1000.0,19.0,18.0,5.0,6.0,4.0,4.0,-0.5286926627159119,0.5893749781215183,nan,nan,109.0,544.0
110592,110,1.4152237482181916e-05,0.0,5e-06,0.0,5e-06,2.145891509090909,1000.0,19.0,19.0,5.0,6.0,4.0,5.0,-0.5290265083312988,0.5891782507093727,nan,nan,111.0,592.0
112640,112,0.0004913884315210421,0.0,0.00017345238095238101,0.0,0.00017345238095238101,2.1471389821428573,1000.0,19.0,17.0,5.0,6.0,4.0,4.0,-0.529360294342041,0.5889816240688889,nan,nan,113.0,640.0
114688,114,0.0005095151326825819,0.0,0.00018,0.0,0.00018,2.1485588421052633,1000.0,19.0,18.0,6.0,6.0,4.0,5.0,-0.5296941995620728,0.5887849928600299,nan,nan,115.0,688.0
116736,116,0.00027890447113743306,0.0,9.845238095238094e-05,0.0,9.845238095238094e-05,2.1489900862068967,1000.0,19.0,17.0,6.0,6.0,3.0,4.0,-0.5300280451774597,0.5885884623790031,nan,nan,117.0,736.0
118784,118,2.83347844538798e-05,0.0,1e-05,0.0,1e-05,2.1486609491525424,1000.0,19.0,17.0,6.0,6.0,4.0,2.0,-0.5303618311882019,0.5883920325687618,nan,nan,119.0,784.0
120832,120,0.001245604239564372,0.0,0.0004392857142857143,0.0,0.0004392857142857143,2.1485427833333333,1000.0,19.0,18.0,6.0,6.0,4.0,3.0,-0.5306956171989441,0.5881956683131021,nan,nan,121.0,832.0
122880,122,0.0007237117313044032,0.0,0.00025500000000000007,0.0,0.00025500000000000007,2.148353557377049,1000.0,19.0,19.0,6.0,6.0,4.0,4.0,-0.531029462814331,0.5879993345426539,nan,nan,123.0,880.0
124928,124,0.0004398775381230015,0.0,0.000155,0.0,0.000155,2.1489672822580648,1000.0,19.0,18.0,6.0,6.0,4.0,3.0,-0.5313632488250732,0.5878031013422282,nan,nan,125.0,928.0
126976,126,0.0,0.0,0.0,0.0,0.0,2.1494107301587304,1000.0,19.0,18.0,6.0,6.0,4.0,5.0,-0.5316970944404602,0.5876068986066681,nan,nan,127.0,976.0
129024,129,0.02251066143602373,0.0,0.007939404761904764,0.0,0.007939404761904764,2.149327899224806,1000.0,19.0,16.0,6.0,6.0,2.0,3.0,-0.5320309400558472,0.5874107613615984,nan,nan,130.0,24.0
131072,131,0.027859157831288176,0.0,0.009832857142857143,0.0,0.009832857142857143,2.15004172519084,1000.0,19.0,16.0,6.0,6.0,3.0,4.0,-0.5323647260665894,0.5872147245858833,nan,nan,132.0,72.0
133120,133,0.029626712413664463,0.0,0.01045357142857143,0.0,0.01045357142857143,2.150405759398496,1000.0,19.0,18.0,6.0,6.0,4.0,3.0,-0.5326985716819763,0.5870187182445389,nan,nan,134.0,120.0
135168,135,0.029315394919421367,0.0,0.010345119047619047,0.0,0.010345119047619047,2.150855303703704,1000.0,19.0,18.0,6.0,6.0,4.0,3.0,-0.5330323576927185,0.5868228123054948,nan,nan,136.0,168.0
137216,137,0.01338008373483419,0.0,0.004722261904761905,0.0,0.004722261904761905,2.151281810218978,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5333662033081055,0.5866269367805095,nan,nan,138.0,216.0
139264,139,0.007566086138087074,0.0,0.0026730952380952383,0.0,0.0026730952380952383,2.152197244604317,1000.0,19.0,16.0,6.0,6.0,4.0,4.0,-0.5337001085281372,0.5864310916827771,nan,nan,140.0,264.0
141312,141,0.0006190982313182604,0.0,0.0002188095238095238,0.0,0.0002188095238095238,2.152067794326241,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5340338945388794,0.5862353818525279,nan,nan,142.0,312.0
143360,143,0.00012733608361280944,0.0,4.5e-05,0.0,4.5e-05,2.152158748251748,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5343677401542664,0.5860397024058918,nan,nan,144.0,360.0
145408,145,0.0002695234042875139,0.0,9.523809523809524e-05,0.0,9.523809523809524e-05,2.152238,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5347015857696533,0.5858440882750776,nan,nan,146.0,408.0
147456,147,0.0001841273041911503,0.0,6.500000000000001e-05,0.0,6.500000000000001e-05,2.1521790408163266,1000.0,19.0,16.0,6.0,6.0,3.0,4.0,-0.5350353717803955,0.5856485743456579,nan,nan,148.0,456.0
149504,149,0.0005475439810641001,0.0,0.00019333333333333333,0.0,0.00019333333333333333,2.1528041543624163,1000.0,19.0,18.0,6.0,6.0,4.0,3.0,-0.5353692173957825,0.585453090769438,nan,nan,150.0,504.0
151552,151,1.4166908478071699e-05,0.0,5e-06,0.0,5e-06,2.1526664105960265,1000.0,19.0,17.0,6.0,6.0,4.0,4.0,-0.5357030630111694,0.5852576724436604,nan,nan,152.0,552.0
153600,153,0.0008841186065872222,0.0,0.0003117857142857143,0.0,0.0003117857142857143,2.152501764705882,1000.0,19.0,17.0,6.0,6.0,4.0,4.0,-0.5360368490219116,0.5850623542189782,nan,nan,154.0,600.0
155648,155,0.000708905515833788,0.0,0.00025000000000000006,0.0,0.00025000000000000006,2.152859806451613,1000.0,19.0,17.0,6.0,6.0,4.0,4.0,-0.5363706350326538,0.5848671011779076,nan,nan,156.0,648.0
157696,157,0.0003118924679239686,0.0,0.00011000000000000004,0.0,0.00011000000000000004,2.1526777834394903,1000.0,19.0,18.0,6.0,6.0,4.0,4.0,-0.536704421043396,0.5846719132986951,nan,nan,158.0,696.0
159744,159,2.8369944815901716e-05,0.0,1e-05,0.0,1e-05,2.1525234025157234,1000.0,19.0,17.0,6.0,6.0,4.0,4.0,-0.5370383262634277,0.5844767208845353,nan,nan,160.0,744.0
161792,161,0.000354488403184754,0.0,0.00012500000000000003,0.0,0.00012500000000000003,2.1528097080745345,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5373721122741699,0.5842816632870592,nan,nan,162.0,792.0
163840,163,0.0,0.0,0.0,0.0,0.0,2.153070582822086,1000.0,19.0,18.0,6.0,6.0,4.0,5.0,-0.5377058982849121,0.5840866707862157,nan,nan,164.0,840.0
165888,165,1.4185940014690531e-05,0.0,5e-06,0.0,5e-06,2.152870587878788,1000.0,19.0,18.0,6.0,6.0,4.0,4.0,-0.5380398035049438,0.5838916737549643,nan,nan,166.0,888.0
167936,167,0.000326239497370756,0.0,0.00011500000000000007,0.0,0.00011500000000000007,2.152896940119761,1000.0,19.0,18.0,6.0,6.0,4.0,4.0,-0.538373589515686,0.5836968114054484,nan,nan,168.0,936.0
169984,169,0.00079457725758466,0.0,0.00028000000000000003,0.0,0.00028000000000000003,2.153194857988166,1000.0,19.0,18.0,6.0,6.0,4.0,4.0,-0.5387073755264282,0.5835020140874048,nan,nan,170.0,984.0
172032,172,0.01968182588481079,0.0,0.006936071428571429,0.0,0.006936071428571429,2.153520081395349,1000.0,19.0,12.0,6.0,6.0,2.0,3.0,-0.5390412211418152,0.5833072470113084,nan,nan,173.0,32.0
174080,174,0.02830052936756978,0.0,0.009974880952380954,0.0,0.009974880952380954,2.1534402068965517,1000.0,19.0,18.0,6.0,6.0,3.0,2.0,-0.5393750667572021,0.5831125449464939,nan,nan,175.0,80.0
176128,176,0.028762556928033246,0.0,0.010137857142857143,0.0,0.010137857142857143,2.1534795738636365,1000.0,19.0,17.0,6.0,6.0,3.0,3.0,-0.5397088527679443,0.582917942615877,nan,nan,177.0,128.0
178176,178,0.030474268108984393,0.0,0.010742142857142858,0.0,0.010742142857142858,2.153587342696629,1000.0,19.0,18.0,6.0,6.0,4.0,3.0,-0.5400426983833313,0.5827233704969359,nan,nan,179.0,176.0
180224,180,0.004774757258682704,0.0,0.0016845238095238096,0.0,0.0016845238095238096,2.154176188888889,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5403764843940735,0.5825288980456289,nan,nan,181.0,224.0
182272,182,0.0009209590253393793,0.0,0.00032523809523809523,0.0,0.00032523809523809523,2.1539844285714285,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5407103300094604,0.5823344557858341,nan,nan,183.0,272.0
184320,184,0.002753188789793625,0.0,0.0009717857142857142,0.0,0.0009717857142857142,2.154137543478261,1000.0,19.0,18.0,6.0,6.0,4.0,4.0,-0.5410441756248474,0.5821400784289007,nan,nan,185.0,320.0
186368,186,0.0010620568181501297,0.0,0.00037500000000000006,0.0,0.00037500000000000006,2.155095612903226,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5413779616355896,0.5819458006398366,nan,nan,187.0,368.0
188416,188,0.0014938847422338514,0.0,0.0005270238095238095,0.0,0.0005270238095238095,2.155090031914894,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5417118072509766,0.5817515530120637,nan,nan,189.0,416.0
190464,190,0.0009354069756350952,0.0,0.00033,0.0,0.00033,2.1554582526315786,1000.0,19.0,17.0,6.0,6.0,4.0,4.0,-0.5420457124710083,0.5815573355586666,nan,nan,191.0,464.0
192512,192,0.00035428720724224485,0.0,0.00012500000000000006,0.0,0.00012500000000000006,2.1565428854166666,1000.0,19.0,17.0,6.0,6.0,4.0,4.0,-0.5423794984817505,0.5813632522485616,nan,nan,193.0,512.0
194560,194,0.0008362593933579428,0.0,0.00029500000000000007,0.0,0.00029500000000000007,2.1569332113402067,1000.0,19.0,17.0,6.0,6.0,4.0,5.0,-0.5427133440971375,0.581169199069555,nan,nan,195.0,560.0
196608,196,0.00041134107073941434,0.0,0.00014500000000000008,0.0,0.00014500000000000008,2.1574499234693882,1000.0,19.0,18.0,6.0,6.0,4.0,3.0,-0.5430471897125244,0.5809752106635389,nan,nan,197.0,608.0
198656,198,0.00045383174952710854,0.0,0.00016000000000000004,0.0,0.00016000000000000004,2.157441045454546,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5433809757232666,0.5807813216261556,nan,nan,199.0,656.0
200704,200,0.0003262302429957548,0.0,0.00011500000000000007,0.0,0.00011500000000000007,2.1571223450000003,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5437148213386536,0.5805874626897106,nan,nan,201.0,704.0
202752,202,0.0004778756513299268,0.0,0.000168452380952381,0.0,0.000168452380952381,2.14965068,1000.0,19.0,18.0,6.0,6.0,3.0,4.0,-0.5440486073493958,0.580393703055579,nan,nan,203.0,752.0
204800,204,0.00019864858861022146,0.0,7e-05,0.0,7e-05,2.1507256800000003,1000.0,19.0,17.0,6.0,6.0,4.0,5.0,-0.5443824529647827,0.580199973502296,nan,nan,205.0,800.0
206848,206,0.00042613393088495444,0.0,0.00015,0.0,0.00015,2.151032345,1000.0,19.0,17.0,6.0,6.0,4.0,5.0,-0.5447162985801697,0.5800063086139803,nan,nan,207.0,848.0
208896,208,9.946726917694316e-05,0.0,3.5000000000000004e-05,0.0,3.5000000000000004e-05,2.1517373450000004,1000.0,19.0,18.0,6.0,6.0,4.0,4.0,-0.5450500845909119,0.5798127429285789,nan,nan,209.0,896.0
210944,210,1.4209549971743022e-05,0.0,5e-06,0.0,5e-06,2.152379135,1000.0,19.0,18.0,6.0,6.0,5.0,3.0,-0.545383870601654,0.5796192418419136,nan,nan,211.0,944.0
212992,212,0.0,0.0,0.0,0.0,0.0,2.153044135,1000.0,19.0,17.0,6.0,6.0,4.0,4.0,-0.5457177758216858,0.5794257362594917,nan,nan,213.0,992.0
215040,215,0.0250659184865883,0.0,0.008817738095238094,0.0,0.008817738095238094,2.153742825,1000.0,19.0,16.0,6.0,6.0,2.0,3.0,-0.546051561832428,0.5792323643286823,nan,nan,216.0,40.0
217088,217,0.02973708688475688,0.0,0.010462738095238096,0.0,0.010462738095238096,2.15458782,1000.0,19.0,18.0,6.0,6.0,4.0,2.0,-0.5463853478431702,0.5790390569319475,nan,nan,218.0,88.0
219136,219,0.028982388092822234,0.0,0.010199404761904762,0.0,0.010199404761904762,2.155316155,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5467192530632019,0.5788457450439559,nan,nan,220.0,136.0
221184,221,0.029470744541212807,0.0,0.010375357142857143,0.0,0.010375357142857143,2.15569961,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5470530390739441,0.5786525666737949,nan,nan,222.0,184.0
223232,223,0.0045718861917611086,0.0,0.0016105952380952382,0.0,0.0016105952380952382,2.157264845,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5473868250846863,0.5784594527731114,nan,nan,224.0,232.0
225280,225,0.0023827166429403242,0.0,0.0008395238095238095,0.0,0.0008395238095238095,2.15853342,1000.0,19.0,17.0,6.0,6.0,4.0,4.0,-0.5477206110954285,0.5782664033203898,nan,nan,226.0,280.0
227328,227,0.0020391558781499893,0.0,0.000718452380952381,0.0,0.000718452380952381,2.159691755,1000.0,19.0,18.0,6.0,6.0,4.0,4.0,-0.5480544567108154,0.5780733838382623,nan,nan,228.0,328.0
229376,229,0.0010845935915905034,0.0,0.00038214285714285715,0.0,0.00038214285714285715,2.16032854,1000.0,19.0,17.0,6.0,6.0,4.0,4.0,-0.5483883023262024,0.5778804287840875,nan,nan,230.0,376.0
231424,231,4.260042733875094e-05,0.0,1.5e-05,0.0,1.5e-05,2.160955205,1000.0,19.0,16.0,6.0,6.0,4.0,3.0,-0.5487220883369446,0.5776875725692215,nan,nan,232.0,424.0
233472,233,0.0015244015155153434,0.0,0.0005367857142857144,0.0,0.0005367857142857144,2.160893535,1000.0,19.0,18.0,6.0,6.0,4.0,4.0,-0.5490559339523315,0.5774947462949498,nan,nan,234.0,472.0
235520,235,0.0,0.0,0.0,0.0,0.0,2.16161258,1000.0,19.0,19.0,6.0,6.0,4.0,3.0,-0.5493897795677185,0.5773019843841399,nan,nan,236.0,520.0
237568,237,0.0014721864908348497,0.0,0.0005184523809523809,0.0,0.0005184523809523809,2.161764125,1000.0,19.0,18.0,6.0,6.0,4.0,5.0,-0.5497235655784607,0.5771093212137032,nan,nan,238.0,568.0
239616,239,0.00014199425240678454,0.0,5e-05,0.0,5e-05,2.1624873350000002,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5500574111938477,0.5769166879538907,nan,nan,240.0,616.0
241664,241,7.80783713694746e-05,0.0,2.7499999999999998e-05,0.0,2.7499999999999998e-05,2.162487215,1000.0,19.0,18.0,6.0,6.0,4.0,5.0,-0.5503913164138794,0.5767240846176787,nan,nan,242.0,664.0
243712,243,9.937102726379817e-05,0.0,3.5000000000000004e-05,0.0,3.5000000000000004e-05,2.16207567,1000.0,19.0,17.0,6.0,6.0,4.0,4.0,-0.5507251024246216,0.5765316143099103,nan,nan,244.0,712.0
245760,245,2.8389198310459703e-05,0.0,1e-05,0.0,1e-05,2.162744005,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5510589480400085,0.5763391738828246,nan,nan,246.0,760.0
247808,247,0.00012063578910207101,0.0,4.25e-05,0.0,4.25e-05,2.1640390050000002,1000.0,19.0,17.0,6.0,6.0,4.0,5.0,-0.5513927340507507,0.5761468320314352,nan,nan,248.0,808.0
249856,249,5.677288454873589e-05,0.0,2e-05,0.0,2e-05,2.164347215,1000.0,19.0,17.0,6.0,6.0,4.0,3.0,-0.5517265796661377,0.5759545200407861,nan,nan,250.0,856.0
251904,251,0.00011358217214737051,0.0,4e-05,0.0,4e-05,2.1641429249999997,1000.0,19.0,18.0,6.0,6.0,4.0,4.0,-0.5520604252815247,0.5757622722419361,nan,nan,252.0,904.0
253952,253,0.0,0.0,0.0,0.0,0.0,2.164991375,1000.0,19.0,17.0,6.0,6.0,4.0,4.0,-0.5523942112922668,0.5755701229201103,nan,nan,254.0,952.0
